LICENSENO,Registration_Type,ISSDTTM,NAMEFIRST,NAMELAST,Reporting_Statement
CCL392509,Lobbyist Registration,2019-04-24 09:49:30,Susan,Tracy,"<P><A href=""https://drive.google.com/a/boston.gov/file/d/1t81PoIPdOC-ar9S3FnJarxO8CPM6F0C6/view?usp=sharing"" target=_blank>https://drive.google.com/a/boston.gov/file/d/1t81PoIPdOC-ar9S3FnJarxO8CPM6F0C6/view?usp=sharing</A></P>
<P><A href=""https://drive.google.com/a/boston.gov/file/d/1rDyKNvLqaZFuxbC1XAhep4Vo_wIB9YcP/view?usp=sharing"" target=_blank>https://drive.google.com/a/boston.gov/file/d/1rDyKNvLqaZFuxbC1XAhep4Vo_wIB9YcP/view?usp=sharing</A></P>"
CCL392514,Lobbyist Registration,2019-04-24 10:03:48,Jeff,Terrey,"<P><A href=""https://drive.google.com/a/boston.gov/file/d/1Nr1WPQZUIiefC7mwvyxbB_4zTdeNEJ1U/view?usp=sharing"" target=_blank>https://drive.google.com/a/boston.gov/file/d/1Nr1WPQZUIiefC7mwvyxbB_4zTdeNEJ1U/view?usp=sharing</A></P>
<P>&nbsp;<A href=""https://drive.google.com/a/boston.gov/file/d/1dwG_8dH_XCzwp6jboYcKYHE9vC7o9tdJ/view?usp=sharing"" target=_blank>https://drive.google.com/a/boston.gov/file/d/1dwG_8dH_XCzwp6jboYcKYHE9vC7o9tdJ/view?usp=sharing</A></P>"
CCL402114,Client Registration,2019-07-08 17:47:30,,"Apothca, Inc.","<A href=""https://drive.google.com/a/boston.gov/file/d/1hIIB18RV7jZl_f4IZm7ekNA5r60ANHpc/view?usp=sharing"" target=_blank>https://drive.google.com/a/boston.gov/file/d/1hIIB18RV7jZl_f4IZm7ekNA5r60ANHpc/view?usp=sharing</A>"
CCL391828,Entity Registration,2019-04-16 12:10:28,,ML Strategies,"<A href=""https://drive.google.com/a/boston.gov/file/d/1z4h0Qf6oeh4emeJwVgWm_HjyltN9SttW/view?usp=sharing"" target=_blank>https://drive.google.com/a/boston.gov/file/d/1z4h0Qf6oeh4emeJwVgWm_HjyltN9SttW/view?usp=sharing</A>"
CCL403675,Lobbyist Registration,2019-07-19 12:56:05,,Katrina Gaddis,"<P><A href=""https://drive.google.com/a/boston.gov/file/d/1o9UoBJwZ2HJkfToIh4RHKDbEgr-6fXvi/view?usp=sharing"" target=_blank>https://drive.google.com/a/boston.gov/file/d/1o9UoBJwZ2HJkfToIh4RHKDbEgr-6fXvi/view?usp=sharing</A></P>
<P>&nbsp;</P>
<P><A href=""https://drive.google.com/a/boston.gov/file/d/1LUfwmELB78_AA8pKrFn6XxgOWN2T76CT/view?usp=sharing"" target=_blank>https://drive.google.com/a/boston.gov/file/d/1LUfwmELB78_AA8pKrFn6XxgOWN2T76CT/view?usp=sharing</A></P>"
CCL413562,Lobbyist Registration,2019-10-18 15:47:05,,Leslie Gross-Davis,
CCL403595,Client Registration,2019-07-18 12:36:52,,Mission Massachusetts,"<A href=""https://drive.google.com/a/boston.gov/file/d/1S0Z-YAABShT1JpMf4jXRjzktWSKEF0iw/view?usp=sharing"" target=_blank>https://drive.google.com/a/boston.gov/file/d/1S0Z-YAABShT1JpMf4jXRjzktWSKEF0iw/view?usp=sharing</A>"
CCL392158,Entity Registration,2019-04-19 15:19:26,,Molly Sullivan for Rasky Partners,"<A href=""https://drive.google.com/a/boston.gov/file/d/1-u6dr7V_8o-H5SWhu4MBVB8BxPwjqPd6/view?usp=sharing"" target=_blank>https://drive.google.com/a/boston.gov/file/d/1-u6dr7V_8o-H5SWhu4MBVB8BxPwjqPd6/view?usp=sharing</A>"
CCL393298,Lobbyist Registration,2019-05-07 14:06:22,Eric,Wilkinson,"<P><A href=""https://drive.google.com/a/boston.gov/file/d/1Oyi45pYXCOr1zTGSULRj2eZLETpFwdpr/view?usp=sharing"" target=_blank>https://drive.google.com/a/boston.gov/file/d/1Oyi45pYXCOr1zTGSULRj2eZLETpFwdpr/view?usp=sharing</A></P>
<P><A href=""https://drive.google.com/a/boston.gov/file/d/1tkuq5nYGdJr_9C2WUBvVB6iekU0aftOO/view?usp=sharing"" target=_blank>https://drive.google.com/a/boston.gov/file/d/1tkuq5nYGdJr_9C2WUBvVB6iekU0aftOO/view?usp=sharing</A></P>"
CCL403704,Client Registration,2019-07-19 16:31:45,,"Steward Health Care, LLC","<P><A href=""https://drive.google.com/a/boston.gov/file/d/1XhAaHjn3lFaPzYwZfTpZ_g9s_TR_WKMm/view?usp=sharing"" target=_blank>https://drive.google.com/a/boston.gov/file/d/1XhAaHjn3lFaPzYwZfTpZ_g9s_TR_WKMm/view?usp=sharing</A></P>
<P><A href=""https://drive.google.com/a/boston.gov/file/d/1XhAaHjn3lFaPzYwZfTpZ_g9s_TR_WKMm/view?usp=sharing"" target=_blank>https://drive.google.com/a/boston.gov/file/d/1XhAaHjn3lFaPzYwZfTpZ_g9s_TR_WKMm/view?usp=sharing</A></P>"
CCL400469,Lobbyist Registration,2019-06-27 10:26:00,,Halle  Thomas,"<P><A href=""https://drive.google.com/a/boston.gov/file/d/1KnsjPrUmdG4viYbi8WgfhPZDgDfHdYRv/view?usp=sharing"" target=_blank>https://drive.google.com/a/boston.gov/file/d/1KnsjPrUmdG4viYbi8WgfhPZDgDfHdYRv/view?usp=sharing</A></P>
<P><A href=""https://drive.google.com/a/boston.gov/file/d/18UOe09MH8eVwG2cDa62aLGWFeVFO4_eL/view?usp=sharing"" target=_blank>https://drive.google.com/a/boston.gov/file/d/18UOe09MH8eVwG2cDa62aLGWFeVFO4_eL/view?usp=sharing</A></P>"
CCL393297,Lobbyist Registration,2019-05-07 14:05:28,Casey,Bowers,"<P><A href=""https://drive.google.com/a/boston.gov/file/d/1TcyD0hiHF1pqightRyQ5LPBXi2_38Fzp/view?usp=sharing"" target=_blank>https://drive.google.com/a/boston.gov/file/d/1TcyD0hiHF1pqightRyQ5LPBXi2_38Fzp/view?usp=sharing</A></P>
<P><A href=""https://drive.google.com/a/boston.gov/file/d/10rjHHO6HCu85a5JtSxLyhidvvMfKEP6z/view?usp=sharing"" target=_blank>https://drive.google.com/a/boston.gov/file/d/10rjHHO6HCu85a5JtSxLyhidvvMfKEP6z/view?usp=sharing</A></P>"
CCL400220,Entity Registration,2019-06-24 12:16:06,,Boston College,
CCL413714,Client Registration,2019-10-22 09:02:14,,"Silver Therapeutics, Inc.",
CCL414796,Client Registration,2019-11-08 11:59:59,,Samuels & Associates,
CCL392420,Lobbyist Registration,2019-04-23 13:03:56,Jonathan,Botter,"<P><A href=""https://drive.google.com/a/boston.gov/file/d/1OjHnsdq9UYa6SSz70XA8vBe3Ai2g70vM/view?usp=sharing"" target=_blank>https://drive.google.com/a/boston.gov/file/d/1OjHnsdq9UYa6SSz70XA8vBe3Ai2g70vM/view?usp=sharing</A></P>
<P><A href=""https://drive.google.com/a/boston.gov/file/d/1_rHAVg_l0SoWgWnAgMpXcAPCaLWMmQrl/view?usp=sharing"" target=_blank>https://drive.google.com/a/boston.gov/file/d/1_rHAVg_l0SoWgWnAgMpXcAPCaLWMmQrl/view?usp=sharing</A></P>"
CCL392285,Client Registration,2019-04-23 09:34:28,,Kate Driscoll,"<A href=""https://drive.google.com/a/boston.gov/file/d/1ymiwZMTbTwR7FMFrWg_L0KmVBL5FdmIQ/view?usp=sharing"" target=_blank>https://drive.google.com/a/boston.gov/file/d/1ymiwZMTbTwR7FMFrWg_L0KmVBL5FdmIQ/view?usp=sharing</A>"
CCL403519,Client Registration,2019-07-17 15:37:59,,The Flatley Company,"<P><A href=""https://drive.google.com/a/boston.gov/file/d/1JnGIZfXOxIAyyqz6_t_VrIuYXhCypsw8/view?usp=sharing"" target=_blank>https://drive.google.com/a/boston.gov/file/d/1JnGIZfXOxIAyyqz6_t_VrIuYXhCypsw8/view?usp=sharing</A></P>
<P><A href=""https://drive.google.com/a/boston.gov/file/d/1k0uAN7bQBXGcFW4QBt_c1amZKof2_0S6/view?usp=sharing"" target=_blank>https://drive.google.com/a/boston.gov/file/d/1k0uAN7bQBXGcFW4QBt_c1amZKof2_0S6/view?usp=sharing</A></P>"
CCL401076,Lobbyist Registration,2019-06-30 19:33:18,Michael,Costello,"<P><A href=""https://drive.google.com/a/boston.gov/file/d/1u8n5xqVMrtIBgWQnuMf_j4ggegsshuNR/view?usp=sharing"" target=_blank>https://drive.google.com/a/boston.gov/file/d/1u8n5xqVMrtIBgWQnuMf_j4ggegsshuNR/view?usp=sharing</A></P>
<P><A href=""https://drive.google.com/a/boston.gov/file/d/1oXS3qrFfCdUgNbpcC05jk8piu-KEvuYI/view?usp=sharing"" target=_blank>https://drive.google.com/a/boston.gov/file/d/1oXS3qrFfCdUgNbpcC05jk8piu-KEvuYI/view?usp=sharing</A></P>"
CCL395943,Lobbyist Registration,2019-05-21 13:59:07,,Cromane Consulting,"<A href=""https://drive.google.com/a/boston.gov/file/d/1aEMwVY_oUUTgwAc-LnGQZDFsyeE-Jokx/view?usp=sharing"" target=_blank>https://drive.google.com/a/boston.gov/file/d/1aEMwVY_oUUTgwAc-LnGQZDFsyeE-Jokx/view?usp=sharing</A>"
CCL403015,Lobbyist Registration,2019-07-15 13:16:51,Alix,Anfang,"<P><A href=""https://drive.google.com/a/boston.gov/file/d/1IzzROhtgOxk1U7htpvYGpv0GZ9xZSuVo/view?usp=sharing"" target=_blank>https://drive.google.com/a/boston.gov/file/d/1IzzROhtgOxk1U7htpvYGpv0GZ9xZSuVo/view?usp=sharing</A></P>
<P><A href=""https://drive.google.com/a/boston.gov/file/d/13UmByLvSH2e-pGS39V2huEjGvki_VABr/view?usp=sharing"" target=_blank>https://drive.google.com/a/boston.gov/file/d/13UmByLvSH2e-pGS39V2huEjGvki_VABr/view?usp=sharing</A></P>"
CCL392570,Lobbyist Registration,2019-04-24 14:02:07,,Molly Sullivan for Rasky Partners,"<A href=""https://drive.google.com/a/boston.gov/file/d/1pO1So8XPxqWihyONErJ_CqRCThymgDhb/view?usp=sharing"" target=_blank>https://drive.google.com/a/boston.gov/file/d/1pO1So8XPxqWihyONErJ_CqRCThymgDhb/view?usp=sharing</A>"
CCL395911,Client Registration,2019-05-21 11:50:00,,Accenture LLP,"<P><A href=""https://drive.google.com/a/boston.gov/file/d/1RfMTxhlCayY5xCMOH1C9n_YW_Xz_-R4S/view?usp=sharing"" target=_blank>https://drive.google.com/a/boston.gov/file/d/1RfMTxhlCayY5xCMOH1C9n_YW_Xz_-R4S/view?usp=sharing</A></P>
<P><A href=""https://drive.google.com/a/boston.gov/file/d/1Lvdnpot31wAl9dy6pggaz_k93HbW65w3/view?usp=sharing"" target=_blank>https://drive.google.com/a/boston.gov/file/d/1Lvdnpot31wAl9dy6pggaz_k93HbW65w3/view?usp=sharing</A></P>"
CCL392258,Lobbyist Registration,2019-04-22 13:38:28,Christine,McMahon,"<P><A href=""https://drive.google.com/a/boston.gov/file/d/1CmNRMpbdV4p7QjTNY6IPn_WbPSJ7Pf15/view?usp=sharing"" target=_blank>https://drive.google.com/a/boston.gov/file/d/1CmNRMpbdV4p7QjTNY6IPn_WbPSJ7Pf15/view?usp=sharing</A></P>
<P><A href=""https://drive.google.com/a/boston.gov/file/d/1Ylr27zSQfHtGgxIyu-i4nUOjGx-Likj1/view?usp=sharing"" target=_blank>https://drive.google.com/a/boston.gov/file/d/1Ylr27zSQfHtGgxIyu-i4nUOjGx-Likj1/view?usp=sharing</A></P>
<P><A href=""https://drive.google.com/a/boston.gov/file/d/1uR3qD8mScQPRamLSdPOgC5eGBVFrYq2z/view?usp=sharing"" target=_blank>https://drive.google.com/a/boston.gov/file/d/1uR3qD8mScQPRamLSdPOgC5eGBVFrYq2z/view?usp=sharing</A></P>"
CCL394171,Client Registration,2019-05-12 21:44:26,"One Post Office Square, L.L.C.",a Delaware limited liability company,"<A href=""https://drive.google.com/a/boston.gov/file/d/1UFp-rxHBKmrFDx56gCl956lTgt4eUxQg/view?usp=sharing"" target=_blank>https://drive.google.com/a/boston.gov/file/d/1UFp-rxHBKmrFDx56gCl956lTgt4eUxQg/view?usp=sharing</A>"
CCL393008,Lobbyist Registration,2019-04-29 11:31:59,Robert ,White,"<P><A href=""https://drive.google.com/a/boston.gov/file/d/1V-j94X_7bBarJ6NBJ65l7LBp3uJsITgD/view?usp=sharing"" target=_blank>https://drive.google.com/a/boston.gov/file/d/1V-j94X_7bBarJ6NBJ65l7LBp3uJsITgD/view?usp=sharing</A></P>
<P><A href=""https://drive.google.com/a/boston.gov/file/d/1NoTYnY5GfCKkkRg7qsHxBAzE-Bvrdk0w/view?usp=sharing"" target=_blank>https://drive.google.com/a/boston.gov/file/d/1NoTYnY5GfCKkkRg7qsHxBAzE-Bvrdk0w/view?usp=sharing</A></P>"
CCL403677,Lobbyist Registration,2019-07-19 12:59:00,,Conor Yunits,"<P><A href=""https://drive.google.com/a/boston.gov/file/d/1RxAJMmk2Jcds2ZvzEu0caJLnfTCmAiDl/view?usp=sharing"" target=_blank>https://drive.google.com/a/boston.gov/file/d/1RxAJMmk2Jcds2ZvzEu0caJLnfTCmAiDl/view?usp=sharing</A></P>
<P><A href=""https://drive.google.com/a/boston.gov/file/d/1ZGeT7eecj2kq1sgMVHJWr7XczQaIJEmC/view?usp=sharing"" target=_blank>https://drive.google.com/a/boston.gov/file/d/1ZGeT7eecj2kq1sgMVHJWr7XczQaIJEmC/view?usp=sharing</A></P>"
CCL392779,Entity Registration,2019-04-25 14:44:08,,Nauset Strategies,"<P><A href=""https://drive.google.com/a/boston.gov/file/d/1cGu_sGZ9r6jgEIaaEBhMCuLb7_spr-r5/view?usp=sharing"" target=_blank>https://drive.google.com/a/boston.gov/file/d/1cGu_sGZ9r6jgEIaaEBhMCuLb7_spr-r5/view?usp=sharing</A></P>
<P><A href=""https://drive.google.com/a/boston.gov/file/d/1cCPCftsJlRxOL2hIK5r6ReYVmQ3ASvbw/view?usp=sharing"" target=_blank>https://drive.google.com/a/boston.gov/file/d/1cCPCftsJlRxOL2hIK5r6ReYVmQ3ASvbw/view?usp=sharing</A></P>"
CCL403734,Lobbyist Registration,2019-07-22 10:16:06,,Paul Barrett,
CCL401077,Lobbyist Registration,2019-06-30 19:40:53,Carlo,Basile,"<P><A href=""https://drive.google.com/a/boston.gov/file/d/1xdfj40DQ06QURAZEtIqBbeQOaltZMTIr/view?usp=sharing"" target=_blank>https://drive.google.com/a/boston.gov/file/d/1xdfj40DQ06QURAZEtIqBbeQOaltZMTIr/view?usp=sharing</A></P>
<P><A href=""https://drive.google.com/a/boston.gov/file/d/1H1Cq6u4wOCt2UoltKLvdXNw-Jj8deju1/view?usp=sharing"" target=_blank>https://drive.google.com/a/boston.gov/file/d/1H1Cq6u4wOCt2UoltKLvdXNw-Jj8deju1/view?usp=sharing</A></P>"
CCL403669,Entity Registration,2019-07-19 12:46:24,,"Boston Strategic Consulting, LLC","<P><A href=""https://drive.google.com/a/boston.gov/file/d/1wNHeVciTdocO11Q7KNa3K-XLhawxMoOz/view?usp=sharing"" target=_blank>https://drive.google.com/a/boston.gov/file/d/1wNHeVciTdocO11Q7KNa3K-XLhawxMoOz/view?usp=sharing</A></P>
<P><A href=""https://drive.google.com/a/boston.gov/file/d/1Rou8-N8BR8-wz6Z4K-Eabg1iZGbWoLHz/view?usp=sharing"" target=_blank>https://drive.google.com/a/boston.gov/file/d/1Rou8-N8BR8-wz6Z4K-Eabg1iZGbWoLHz/view?usp=sharing</A></P>"
CCL401084,Lobbyist Registration,2019-06-30 19:54:40,Thomas,Mangan,"<P><U><A href=""https://drive.google.com/a/boston.gov/file/d/16ZilTdLqLNpAaPvwm57zWAXC7BCy1Pr0/view?usp=sharing"" target=_blank>https://drive.google.com/a/boston.gov/file/d/16ZilTdLqLNpAaPvwm57zWAXC7BCy1Pr0/view?usp=sharing</A></U></P>
<P><U><A href=""https://drive.google.com/a/boston.gov/file/d/1CquYcEiHhns7HOtegHgJWqMimsIO30Bu/view?usp=sharing"" target=_blank>https://drive.google.com/a/boston.gov/file/d/1CquYcEiHhns7HOtegHgJWqMimsIO30Bu/view?usp=sharing</A></U></P>"
CCL392386,Lobbyist Registration,2019-04-23 09:51:10,Yotam,Zeira,"<A href=""https://drive.google.com/a/boston.gov/file/d/1UUGF2W5ouwYQjfQ_70EAP4mX7f1vTLHH/view?usp=sharing"" target=_blank>https://drive.google.com/a/boston.gov/file/d/1UUGF2W5ouwYQjfQ_70EAP4mX7f1vTLHH/view?usp=sharing</A>"
CCL398093,Entity Registration,2019-06-10 15:33:31,,JPMorgan Chase Bank N.A.,"<P><A href=""https://drive.google.com/a/boston.gov/file/d/1TuURlcaAShxdNvAhTRDNySYurBPpS77X/view?usp=sharing"" target=_blank>https://drive.google.com/a/boston.gov/file/d/1TuURlcaAShxdNvAhTRDNySYurBPpS77X/view?usp=sharing</A></P>
<P><A href=""https://drive.google.com/a/boston.gov/file/d/1gXdJEvKecBp6hQ82CFc4iPwZ2yLDTqaC/view?usp=sharing"" target=_blank>https://drive.google.com/a/boston.gov/file/d/1gXdJEvKecBp6hQ82CFc4iPwZ2yLDTqaC/view?usp=sharing</A></P>"
CCL402105,Lobbyist Registration,2019-07-08 15:25:47,Claire,Donegan,
CCL392815,Client Registration,2019-04-25 18:32:08,,geoffrey reilinger,
CCL392781,Lobbyist Registration,2019-04-25 14:49:39,,Nauset Strategies,"<P>&nbsp;<A href=""https://drive.google.com/a/boston.gov/file/d/1WUHwV4ZMbbcsbz2i1Lly-ude5qE7VXih/view?usp=sharing"" target=_blank>https://drive.google.com/a/boston.gov/file/d/1WUHwV4ZMbbcsbz2i1Lly-ude5qE7VXih/view?usp=sharing</A></P>
<P>&nbsp;</P>
<P><A href=""https://drive.google.com/a/boston.gov/file/d/1QQuzlNSYGcMw03nNM0rKRKRdrR59sCbg/view?usp=sharing"" target=_blank>https://drive.google.com/a/boston.gov/file/d/1QQuzlNSYGcMw03nNM0rKRKRdrR59sCbg/view?usp=sharing</A></P>
<P><A href=""https://drive.google.com/a/boston.gov/file/d/1hwYiXuzw4k9dgPVgVxyfsEwcruA5l0-e/view?usp=sharing"" target=_blank>https://drive.google.com/a/boston.gov/file/d/1hwYiXuzw4k9dgPVgVxyfsEwcruA5l0-e/view?usp=sharing</A></P>"
CCL393425,Lobbyist Registration,2019-05-02 12:05:25,Mary,Nee,"<P><A href=""https://drive.google.com/a/boston.gov/file/d/1GfyH7m8NLqiIoTNDzLlKkK8eNYvjDnc-/view?usp=sharing"" target=_blank>https://drive.google.com/a/boston.gov/file/d/1GfyH7m8NLqiIoTNDzLlKkK8eNYvjDnc-/view?usp=sharing</A></P>
<P><A href=""https://drive.google.com/a/boston.gov/file/d/1G1kCu4jHHATa5yapsFog66JniIPKtIxw/view?usp=sharing"" target=_blank>https://drive.google.com/a/boston.gov/file/d/1G1kCu4jHHATa5yapsFog66JniIPKtIxw/view?usp=sharing</A></P>"
CCL391967,Entity Registration,2019-04-17 13:49:45,,Apple Inc.,"<P><A href=""https://drive.google.com/a/boston.gov/file/d/17Q2sdv-zJtMAuiLxi3AWvYO4eAwiJWcn/view?usp=sharing"" target=_blank>https://drive.google.com/a/boston.gov/file/d/17Q2sdv-zJtMAuiLxi3AWvYO4eAwiJWcn/view?usp=sharing</A></P>
<P><A href=""https://drive.google.com/a/boston.gov/file/d/1WMqNLF6kCBeYCQNKO2wpia9q9r8d0PK9/view?usp=sharing"" target=_blank>https://drive.google.com/a/boston.gov/file/d/1WMqNLF6kCBeYCQNKO2wpia9q9r8d0PK9/view?usp=sharing</A></P>"
CCL398986,Client Registration,2019-06-18 11:17:30,,"The Mount Vernon Company, Inc.","<A href=""https://drive.google.com/a/boston.gov/file/d/1s-gslGgPLKt61RLeO1UXADJzUW8SxCHU/view?usp=sharing"" target=_blank>https://drive.google.com/a/boston.gov/file/d/1s-gslGgPLKt61RLeO1UXADJzUW8SxCHU/view?usp=sharing</A>"
CCL398092,Client Registration,2019-06-10 15:33:32,,JPMorgan Chase Bank N.A.,"<P><A href=""https://drive.google.com/a/boston.gov/file/d/1I9HJRabj77uze-1e8Ikwybt3NqcvcEHb/view?usp=sharing"" target=_blank>https://drive.google.com/a/boston.gov/file/d/1I9HJRabj77uze-1e8Ikwybt3NqcvcEHb/view?usp=sharing</A></P>
<P><A href=""https://drive.google.com/a/boston.gov/file/d/1ZKUXVRuaS0THuwG3BoaScwkZDs1ck6gZ/view?usp=sharing"" target=_blank>https://drive.google.com/a/boston.gov/file/d/1ZKUXVRuaS0THuwG3BoaScwkZDs1ck6gZ/view?usp=sharing</A></P>"
CCL393725,Client Registration,2019-06-07 12:29:06,,199 TRENTON LLC,
CCL400272,Client Registration,2019-06-26 11:22:09,,Novo Nordisk inc.,"<P><A href=""https://drive.google.com/a/boston.gov/file/d/1U1UVUGwL93wlYSSIpi8F4-LpL6Bo-OVp/view?usp=sharing"" target=_blank>https://drive.google.com/a/boston.gov/file/d/1U1UVUGwL93wlYSSIpi8F4-LpL6Bo-OVp/view?usp=sharing</A></P>
<P><A href=""https://drive.google.com/a/boston.gov/file/d/1c6qtTB_d0VKkSqAXF5_qVo8dvYodnmbf/view?usp=sharing"" target=_blank>https://drive.google.com/a/boston.gov/file/d/1c6qtTB_d0VKkSqAXF5_qVo8dvYodnmbf/view?usp=sharing</A></P>"
CCL401093,Client Registration,2019-07-01 08:09:38,,Strategies for Children,"<A href=""https://drive.google.com/a/boston.gov/file/d/1X6eANNirIo4_-HgUdK5YBVWxPYK1L0TF/view?usp=sharing"" target=_blank>https://drive.google.com/a/boston.gov/file/d/1X6eANNirIo4_-HgUdK5YBVWxPYK1L0TF/view?usp=sharing</A>"
CCL393729,Lobbyist Registration,2019-05-07 14:50:35,,199 TRENTON LLC,
CCL400271,Lobbyist Registration,2019-06-24 16:31:07,Katherine,Barry,"<P><A href=""https://drive.google.com/a/boston.gov/file/d/1ONvKexHFwCLzHex520_vK5UbneEZsM9z/view?usp=sharing"" target=_blank>https://drive.google.com/a/boston.gov/file/d/1ONvKexHFwCLzHex520_vK5UbneEZsM9z/view?usp=sharing</A></P>
<P><A href=""https://drive.google.com/a/boston.gov/file/d/1U1cGzagQ5AmwsVyqa59p9DCldvCI5Fkp/view?usp=sharing"" target=_blank>https://drive.google.com/a/boston.gov/file/d/1U1cGzagQ5AmwsVyqa59p9DCldvCI5Fkp/view?usp=sharing</A></P>"
CCL396669,Entity Registration,2019-05-31 09:10:20,,"The Suffolk Group, llc","<P><A href=""https://drive.google.com/a/boston.gov/file/d/1kpFEFiDWGcoTm2IeGSbs-7tM2rLHmjNX/view?usp=sharing"" target=_blank>https://drive.google.com/a/boston.gov/file/d/1kpFEFiDWGcoTm2IeGSbs-7tM2rLHmjNX/view?usp=sharing</A></P>
<P><A href=""https://drive.google.com/a/boston.gov/file/d/1XcwcxcvMWKeUdlwoCCYFtpWbbCA-4IsM/view?usp=sharing"" target=_blank>https://drive.google.com/a/boston.gov/file/d/1XcwcxcvMWKeUdlwoCCYFtpWbbCA-4IsM/view?usp=sharing</A></P>"
CCL393116,Entity Registration,2019-04-29 14:18:18,,Boston Municipal Research Bureau,"<P><A href=""https://drive.google.com/a/boston.gov/file/d/1-ixXyJJD5G1UH95p8YdIrfWR9c0-gEHe/view?usp=sharing"" target=_blank>https://drive.google.com/a/boston.gov/file/d/1-ixXyJJD5G1UH95p8YdIrfWR9c0-gEHe/view?usp=sharing</A></P>
<P><A href=""https://drive.google.com/a/boston.gov/file/d/1V9P4YFOlebLBg2wtCaph6GoyKmgWv6s7/view?usp=sharing"" target=_blank>https://drive.google.com/a/boston.gov/file/d/1V9P4YFOlebLBg2wtCaph6GoyKmgWv6s7/view?usp=sharing</A></P>"
CCL392052,Entity Registration,2019-04-18 14:04:35,Sean,Morrissey,"<P><A href=""https://drive.google.com/a/boston.gov/file/d/1coswmiB7D7XdO2e5yIxJFKWO5vicu9tJ/view?usp=sharing"" target=_blank>https://drive.google.com/a/boston.gov/file/d/1coswmiB7D7XdO2e5yIxJFKWO5vicu9tJ/view?usp=sharing</A></P>
<P><A href=""https://drive.google.com/a/boston.gov/file/d/1jRwRnWsrgdXcOS3llEESQrGrNfjx2O9F/view?usp=sharing"" target=_blank>https://drive.google.com/a/boston.gov/file/d/1jRwRnWsrgdXcOS3llEESQrGrNfjx2O9F/view?usp=sharing</A></P>"
CCL392865,Lobbyist Registration,2019-04-26 09:08:28,BENJAMIN,PERKINS,"<P><A href=""https://drive.google.com/a/boston.gov/file/d/1sF_moNXU2yvZINApAJ93aqLoePeRmHxP/view?usp=sharing"" target=_blank>https://drive.google.com/a/boston.gov/file/d/1sF_moNXU2yvZINApAJ93aqLoePeRmHxP/view?usp=sharing</A></P>
<P><A href=""https://drive.google.com/a/boston.gov/file/d/1CNKxOhW5tTbxuIMIE9AznDEYLVfH0lHc/view?usp=sharing"" target=_blank>https://drive.google.com/a/boston.gov/file/d/1CNKxOhW5tTbxuIMIE9AznDEYLVfH0lHc/view?usp=sharing</A></P>
<P>&nbsp;</P>"
CCL413537,Lobbyist Registration,2019-10-18 12:57:34,,Jason Epstein,
CCL403445,Lobbyist Registration,2019-07-16 16:22:37,Rahsaan,Hall,"<P><A href=""https://drive.googlhttps://drive.google.com/a/boston.gov/file/d/1Tbsm0aTNsg8L3CH5bqnd-Cad08XLIhNL/view?usp=sharing"" target=_blank>https://drive.googlhttps://drive.google.com/a/boston.gov/file/d/1Tbsm0aTNsg8L3CH5bqnd-Cad08XLIhNL/view?usp=sharing</A></P>
<P><A href=""https://drive.google.com/a/boston.gov/file/d/1Tbsm0aTNsg8L3CH5bqnd-Cad08XLIhNL/view?usp=sharing"" target=_blank>https://drive.google.com/a/boston.gov/file/d/1Tbsm0aTNsg8L3CH5bqnd-Cad08XLIhNL/view?usp=sharing</A></P>
<P>&nbsp;</P>
<P>&nbsp;</P>"
CCL400370,Entity Registration,2019-06-26 10:19:11,,Boston University,"<P><A href=""https://drive.google.com/a/boston.gov/file/d/1D1MU3XIXDNu9DRuNwGDdCm5mG-nWhtpX/view?"" target=_blank>https://drive.google.com/a/boston.gov/file/d/1D1MU3XIXDNu9DRuNwGDdCm5mG-nWhtpX/view?</A></P>
<P><A href=""https://drive.google.com/a/boston.gov/file/d/1KtWcLRQ87hJNxpwj0MYEc1qNdOhm6lt7/view?usp=sharing"" target=_blank>https://drive.google.com/a/boston.gov/file/d/1KtWcLRQ87hJNxpwj0MYEc1qNdOhm6lt7/view?usp=sharing</A></P>"
CCL405986,Client Registration,2019-08-07 16:25:30,James,Ricotta,
CCL403681,Lobbyist Registration,2019-07-19 13:18:23,,Samantha Trombley,"<P><A href=""https://drive.google.https://drive.google.com/a/boston.gov/file/d/1fTOQXAuKiS4OB1Y7wgFU3EmH_Y5ZAfQ4/view?usp=sharing"" target=_blank>https://drive.google.https://drive.google.com/a/boston.gov/file/d/1fTOQXAuKiS4OB1Y7wgFU3EmH_Y5ZAfQ4/view?usp=sharing</A></P>
<P>&nbsp;</P>
<P><A href=""https://drive.google.com/a/boston.gov/file/d/1fTOQXAuKiS4OB1Y7wgFU3EmH_Y5ZAfQ4/view?usp=sharing"" target=_blank>https://drive.google.com/a/boston.gov/file/d/1fTOQXAuKiS4OB1Y7wgFU3EmH_Y5ZAfQ4/view?usp=sharing</A></P>
<P>&nbsp;</P>"
